CountryTerritory,total_no_of_deaths
Afghanistan,5982631
Albania,523545
Algeria,4601205
American_Samoa,8619
Andorra,12532
Angola,5366718
Antigua_and_Barbuda,14265
Argentina,8552888
Armenia,783174
Australia,3889556
Austria,2290891
Azerbaijan,2028238
Bahamas,56965
Bahrain,75941
Bangladesh,24803502
Barbados,69613
Belarus,3856108
Belgium,3006741
Belize,38672
Benin,2170343
Bermuda,13810
Bhutan,119148
Bolivia,1832360
Bosnia_and_Herzegovina,1016460
Botswana,652059
Brazil,32674112
Brunei,36804
Bulgaria,3714519
Burkina_Faso,4869268
Burundi,2807113
Cambodia,3177198
Cameroon,5155974
Canada,6534938
Cape_Verde,81419
Central_African_Republic,1875279
Chad,3554423
Chile,2591836
China,265408106
Colombia,5849272
Comoros,148274
Congo,1060983
Cook_Islands,3999
Costa_Rica,485855
Cote_d'Ivoire,5732265
Croatia,1519071
Cuba,2422450
Cyprus,198852
Czechia,3253307
Democratic_Republic_of_Congo,17446538
Denmark,1619397
Djibouti,178312
Dominica,20350
Dominican_Republic,1550151
Ecuador,2059371
Egypt,14878359
El_Salvador,1021357
Equatorial_Guinea,198005
Eritrea,1273196
Estonia,511674
Eswatini,387046
Ethiopia,20880668
Fiji,171689
Finland,1453213
France,15093782
Gabon,343584
Gambia,336487
Georgia,1611980
Germany,25559667
Ghana,5448868
Greece,3124015
Greenland,12804
Grenada,21108
Guam,23062
Guatemala,2337809
Guinea,3138945
Guinea-Bissau,436105
Guyana,183493
Haiti,2791937
Honduras,1133218
Hungary,4025329
Iceland,53199
India,238158165
Indonesia,44046941
Iran,9278362
Iraq,4248735
Ireland,861097
Israel,1087929
Italy,16779302
Jamaica,457508
Japan,31922807
Jordan,535858
Kazakhstan,4526448
Kenya,8605263
Kiribati,29939
Kuwait,173735
Kyrgyzstan,1118630
Laos,1414509
Latvia,929223
Lebanon,744775
Lesotho,924731
Liberia,968040
Libya,629916
Lithuania,1217385
Luxembourg,109716
Madagascar,4485733
Malawi,4681530
Malaysia,3387621
Maldives,32937
Mali,4932833
Malta,89154
Marshall_Islands,10186
Mauritania,610294
Mauritius,252727
Mexico,15720801
Micronesia,24537
Moldova,1412599
Monaco,14591
Mongolia,643715
Montenegro,173610
Morocco,5574036
Mozambique,7045726
Myanmar,13486764
Namibia,569907
Nauru,2249
Nepal,5159447
Netherlands,3929990
New_Zealand,819244
Nicaragua,670896
Niger,4891553
Nigeria,43670014
Niue,591
North_Korea,7029044
North_Macedonia,611955
Northern_Mariana_Islands,7827
Norway,1205649
Oman,304947
Pakistan,38151878
Palau,4814
Palestine,411257
Panama,418150
Papua_New_Guinea,1349157
Paraguay,701474
Peru,3803706
Philippines,13680040
Poland,11173480
Portugal,3090408
Puerto_Rico,854186
Qatar,67331
Romania,7883515
Russia,59591155
Rwanda,3070775
Saint_Kitts_and_Nevis,12181
Saint_Lucia,29352
Saint_Vincent_and_the_Grenadines,23445
Samoa,34510
San_Marino,6761
Sao_Tome_and_Principe,29986
Saudi_Arabia,2626923
Senegal,2489411
Serbia,3366448
Seychelles,19081
Sierra_Leone,1967352
Singapore,488771
Slovakia,1576884
Slovenia,555608
Solomon_Islands,139389
Somalia,4042753
South_Africa,15807129
South_Korea,7540359
South_Sudan,2293162
Spain,10888774
Sri_Lanka,3479255
Sudan,5986750
Suriname,93959
Sweden,2645896
Switzerland,1805382
Syria,2322242
Taiwan,4105623
Tajikistan,1335833
Tanzania,11195695
Thailand,11358484
Timor,198600
Togo,1457783
Tokelau,299
Tonga,17580
Trinidad_and_Tobago,282433
Tunisia,1525867
Turkey,10748951
Turkmenistan,919328
Tuvalu,2962
Uganda,8575533
Ukraine,21245451
United_Arab_Emirates,372629
United_Kingdom,17281600
United_States,71197802
United_States_Virgin_Islands,27512
Uruguay,905972
Uzbekistan,5581614
Vanuatu,46023
Venezuela,3697746
Vietnam,14444650
Yemen,4088624
Zambia,4110709
Zimbabwe,4418584
